name,lastName,age,country,gender,wealthSource,,,
Ivan Glasenberg, Glasenberg,61, Switzerland,M, mining,,,
John Paulson, Paulson,62, United States,M, hedge funds,,,
Wei Jianjun, Wei,54, China,M, automobiles,,,
Francis Choi, Choi,70, Hong Kong,M, real estate,,,
Jason Jiang, Jiang,45, China,M, advertising,,,
Suleiman Kerimov, Kerimov,52, Russia,M, investments,,,
Pang Kang, Pang,62, China,M, soy sauce maker,,,
David Shaw, Shaw,67, United States,M, hedge funds,,,
Kushal Pal Singh, Singh,86, India,M, real estate,,,
John A. Sobrato, Sobrato,79, United States,M, real estate,,,
Acharya Balkrishna, Balkrishna,45, India,M, consumer goods,,,
Guenther Fielmann, Fielmann,78, Germany,M, optometry,,,
Daniel Gilbert, Gilbert,56, United States,M, Quicken Loans,,,
Vikram Lal, Lal,76, India,M, motorcycles,,,
Akira Mori, Mori,81, Japan,M, real estate,,,
Albert Frere, Frere,92, Belgium,M, investments,,,
Richard Kinder, Kinder,73, United States,M, pipelines,,,
Robert Kraft, Kraft,77, United States,M, New England Patriots,,,
Ralph Lauren, Lauren,78, United States,M, Ralph Lauren,,,
Bruno Schroder, Schroder,85, United Kingdom,M, banking,,,
Nusli Wadia, Wadia,74, India,M, consumer goods,,,
Pierre Bellon, Bellon,88, France,M, food services,,,
Les Wexner, Wexner,80, United States,M, retail,,,
Benu Gopal Bangur, Bangur,87, India,M, cement,,,
David Cheriton, Cheriton,67, Canada,M, Google,,,
Ma Jianrong, Ma,54, China,M, textiles, apparel,,
Whitney MacMillan, MacMillan,88, United States,M, Cargill,,,
Dan Olsson, Olsson,71, Sweden,M, diversified,,,
Vivek Chaand Sehgal, Sehgal,61, Australia,M, auto parts,,,
Teh Hong Piow, Teh,88, Malaysia,M, banking,,,
Ralph Dommermuth, Dommermuth,54, Germany,M, internet service provider,,,
Frank Lowy, Lowy,87, Australia,M, shopping malls,,,
Wolfgang Marguerre, Marguerre,77, Germany,M, pharmaceuticals,,,
David & Frederick Barclay, Barclay,84, United Kingdom,M, media, retail,,
Kwon Hyuk-Bin, Kwon,44, South Korea,M, online games,,,
Lin Yu-Ling, Lin,81, Taiwan,M, real estate,,,
Robert Rowling, Rowling,64, United States,M, investments,,,
Dennis Washington, Washington,83, United States,M, construction, mining,,
Yao Liangsong, Yao,53, China,M, furniture,,,
Zhang Jindong, Zhang,55, China,M, appliance retailer,,,
Juan Francisco Beckmann Vidal, Beckmann Vidal,78, Mexico,M, tequila,,,
David Sun, Sun,66, United States,M, computer hardware,,,
John Tu, Tu,76, United States,M, computer hardware,,,
Martin Viessmann, Viessmann,64, Germany,M, heating equipment,,,
Stef Wertheimer, Wertheimer,91, Israel,M, metalworking tools,,,
Hansjoerg Wyss, Wyss,83, Switzerland,M, medical devices,,,
James Dyson, Dyson,71, United Kingdom,M, vacuums,,,
Laurence Graff, Graff,80, United Kingdom,M, diamond jewelry,,,
Jen-Hsun Huang, Huang,55, United States,M, semiconductors,,,
Charles Johnson, Johnson,85, United States,M, money management,,,
Jerry Jones, Jones,75, United States,M, Dallas Cowboys,,,
Kei Hoi Pang, Kei,52, China,M, real estate,,,
Lee Shin Cheng, Lee,79, Malaysia,M, palm oil, property,,
Richard LeFrak, LeFrak,72, United States,M, real estate,,,
Shigenobu Nagamori, Nagamori,73, Japan,M, motors,,,
Steven Rales, Rales,67, United States,M, manufacturing,,,
Yeung Kin-man, Yeung,54, Hong Kong,M, electronics,,,
Rinat Akhmetov, Akhmetov,51, Ukraine,M, steel, coal,,
Andrew Currie, Currie,62, United Kingdom,M, chemicals,,,
Scott Duncan, Duncan,35, United States,M, pipelines,,,
Hiroshi Mikitani, Mikitani,53, Japan,M, online retail,,,
Gabe Newell, Newell,55, United States,M, videogames,,,
Pan Sutong, Pan,55, Hong Kong,M, real estate, finance,,
Anthony Pratt, Pratt,58, Australia,M, manufacturing,,,
John Reece, Reece,61, United Kingdom,M, chemicals,,,
Zhang Bangxin, Zhang,38, China,M, after-school tutoring,,,
Zhang Shiping, Zhang,71, China,M, aluminum products,,,
Jean-Michel Besnier, Besnier,51, France,M, cheese,,,
Richard DeVos, DeVos,92, United States,M, Amway,,,
Michael Herz, Herz,74, Germany,M, coffee,,,
Wolfgang Herz, Herz,67, Germany,M, coffee,,,
Kjeld Kirk Kristiansen, Kristiansen,70, Denmark,M, Lego,,,
Lin Xiucheng, Lin,62, China,M, electronics,,,
George Roberts, Roberts,74, United States,M, private equity,,,
Mike Adenuga, Adenuga,65, Nigeria,M, telecom, oil,,
Jim Davis, Davis,75, United States,M, New Balance,,,
David Filo, Filo,52, United States,M, Yahoo,,,
Henry Kravis, Kravis,74, United States,M, private equity,,,
Emanuele (Lino) Saputo, Saputo,81, Canada,M, cheese,,,
Xu Chuanhua, Xu,83, China,M, chemicals, logistics,,
Alexander Abramov, Abramov,59, Russia,M, steel, mining,,
Israel Englander, Englander,69, United States,M, hedge funds,,,
Frits Goldschmeding, Goldschmeding,84, Netherlands,M, temp agency,,,
Bruce Kovner, Kovner,73, United States,M, hedge funds,,,
George Lucas, Lucas,74, United States,M, Star Wars,,,
Kalanithi Maran, Maran,52, India,M, media,,,
Wang Chuanfu, Wang,52, China,M, batteries, automobiles,,
Pyotr Aven, Aven,63, Russia,M, oil, banking, telecom,
Bernard Marcus, Marcus,89, United States,M, Home Depot,,,
Pedro Moreira Salles, Moreira Salles,58, Brazil,M, banking, minerals,,
Frederick Smith, Smith,73, United States,M, FedEx,,,
Richard Branson, Branson,67, United Kingdom,M, Virgin,,,
Subhash Chandra, Chandra,67, India,M, media,,,
Law Kar Po, Law,70, Hong Kong,M, real estate,,,
Joe Lewis, Lewis,81, United Kingdom,M, investments,,,
Fernando Roberto Moreira Salles, Moreira Salles,72, Brazil,M, banking, minerals,,
Joao Moreira Salles, Moreira Salles,56, Brazil,M, banking, minerals,,
Walther Moreira Salles Junior, Moreira Salles Junior,62, Brazil,M, banking, minerals,,
Pankaj Patel, Patel,65, India,M, pharmaceuticals,,,
Thomas Schmidheiny, Schmidheiny,72, Switzerland,M, cement,,,
Vichai Srivaddhanaprabha, Srivaddhanaprabha,60, Thailand,M, duty-free,,,
Keiichiro Takahara, Takahara,87, Japan,M, diapers,,,
M.A. Yusuff Ali, Yusuff Ali,62, India,M, retail,,,
Robert Bass, Bass,70, United States,M, oil, investments,,
Marc Benioff, Benioff,53, United States,M, business software,,,
Chung Mong-Koo, Chung,80, South Korea,M, motor vehicles,,,
Charles Dolan, Dolan,91, United States,M, cable television,,,
Ray Lee Hunt, Hunt,75, United States,M, oil, real estate,,
Liu Yonghao, Liu,66, China,M, agribusiness,,,
John Overdeck, Overdeck,48, United States,M, hedge funds,,,
Ajay Piramal, Piramal,62, India,M, pharmaceuticals,,,
Sumner Redstone, Redstone,95, United States,M, media,,,
Reinhold Schmieding, Schmieding,63, United States,M, medical devices,,,
David Siegel, Siegel,56, United States,M, hedge funds,,,
Andrei Skoch, Skoch,52, Russia,M, steel,,,
Yu Yong, Yu,57, China,M, mining,,,
Sam Zell, Zell,76, United States,M, real estate, private equity,,
Zhou Jianping, Zhou,58, China,M, fashion retail,,,
Garrett Camp, Camp,39, Canada,M, Uber,,,
Bubba Cathy, Cathy,64, United States,M, Chick-fil-A,,,
Dan Cathy, Cathy,65, United States,M, Chick-fil-A,,,
Fu Liquan, Fu,50, China,M, surveillance equipment,,,
Mikhail Gutseriev, Gutseriev,60, Russia,M, oil, real estate,,
Travis Kalanick, Kalanick,41, United States,M, Uber,,,
Andrei Kozitsyn, Kozitsyn,58, Russia,M, metals,,,
Horst Paulmann, Paulmann,83, Chile,M, retail,,,
Julio Ponce Lerou, Ponce Lerou,72, Chile,M, fertilizer,,,
Trevor Rees-Jones, Rees-Jones,66, United States,M, oil & gas,,,
Mark Scheinberg, Scheinberg,44, Canada,M, online gambling,,,
Jeffrey Skoll, Skoll,53, United States,M, eBay,,,
Murat Ulker, Ulker,59, Turkey,M, food,,,
Daniel Ziff, Ziff,46, United States,M, investments,,,
Dirk Ziff, Ziff,54, United States,M, investments,,,
Robert Ziff, Ziff,51, United States,M, investments,,,
Juergen Blickle, Blickle,71, Germany,M, auto parts,,,
Bernard Broermann, Broermann,74, Germany,M, hospitals,,,
Clive Calder, Calder,71, United Kingdom,M, record label,,,
Stanley Druckenmiller, Druckenmiller,65, United States,M, hedge funds,,,
Ted Lerner, Lerner,92, United States,M, real estate,,,
Li Shuirong, Li,61, China,M, petrochemicals,,,
Lim Kok Thay, Lim,66, Malaysia,M, casinos,,,
Niels Peter Louis-Hansen, Louis-Hansen,70, Denmark,M, medical devices,,,
Fredrik Lundberg, Lundberg,66, Sweden,M, real estate, investments,,
J. Christopher Reyes, Reyes,64, United States,M, food distribution,,,
Jude Reyes, Reyes,62, United States,M, food distribution,,,
Sheldon Solow, Solow,89, United States,M, real estate,,,
Lucio Tan, Tan,83, Philippines,M, diversified,,,
Andrej Babis, Babis,63, Czech Republic,M, agriculture,,,
Cai Kui, Cai,55, China,M, real estate,,,
Bidzina Ivanishvili, Ivanishvili,62, Georgia,M, investments,,,
Chris Larsen, Larsen,58, United States,M, cryptocurrency,,,
Patrick Lee, Lee,76, Hong Kong,M, paper,,,
Liang Wengen, Liang,61, China,M, construction equipment,,,
["Denis OBrien", "OBrien",60, Ireland,M, telecom,,,
Jean-Pierre Cayard, Cayard,75, France,M, spirits,,,
Chey Tae-Won, Chey,57, South Korea,M, IT, telecom,,
Fang Wei, Fang,44, China,M, steel,,,
Andrei Guriev, Guriev,58, Russia,M, fertilizers,,,
Bertil Hult, Hult,77, Sweden,M, education,,,
Ji Changqun, Ji,50, China,M, real estate,,,
Robert Miller, Miller,85, United Kingdom,M, retail,,,
Sergei Popov, Popov,46, Russia,M, banking,,,
Juan Roig, Roig,68, Spain,M, supermarkets,,,
John Sall, Sall,70, United States,M, software,,,
Leonard Stern, Stern,80, United States,M, real estate,,,
Ye Chenghai, Ye,74, Hong Kong,M, pharmaceuticals,,,
Anthony Bamford, Bamford,72, United Kingdom,M, construction equipment,,,
Chu Mang Yee, Chu,58, China,M, real estate,,,
Juan Carlos Escotet, Escotet,58, Venezuela,M, banking,,,
Miguel Fluxa Rossello, Fluxa Rossello,79, Spain,M, hotels,,,
Andrew Forrest, Forrest,56, Australia,M, mining,,,
Paul Gauselmann, Gauselmann,83, Germany,M, gambling,,,
Micky Jagtiani, Jagtiani,66, India,M, retail,,,
Johan Johannson, Johannson,51, Norway,M, grocery stores,,,
Richard Li, Li,51, Hong Kong,M, telecom,,,
John Morris, Morris,70, United States,M, sporting goods retail,,,
Theo Mueller, Mueller,78, Germany,M, dairy,,,
Akio Nitori, Nitori,74, Japan,M, home furnishings,,,
Wolfgang Reimann, Reimann,65, Germany,M, consumer goods,,,
Matthias Reimann-Andersen, Reimann-Andersen,53, Germany,M, consumer goods,,,
Stefan Reimann-Andersen, Reimann-Andersen,54, Germany,M, consumer goods,,,
Robert Smith, Smith,55, United States,M, private equity,,,
Russ Weiner, Weiner,48, United States,M, energy drinks,,,
Jeronimo Arango, Arango,92, Mexico,M, retail,,,
Rahul Bajaj, Bajaj,80, India,M, motorcycles,,,
Rainer Blickle, Blickle,70, Germany,M, auto parts,,,
Rocco Commisso, Commisso,68, United States,M, telecom,,,
["Giuseppe DeLonghi", "DeLonghi",79, Italy,M, coffee makers,,,
Tilman Fertitta, Fertitta,60, United States,M, Houston Rockets, entertainment,,
Nathan Kirsh, Kirsh,86, Swaziland,M, retail, real estate,,
Terrence Pegula, Pegula,67, United States,M, natural gas,,,
Robert Pera, Pera,40, United States,M, wireless networking gear,,,
Gary Rollins, Rollins,73, United States,M, pest control,,,
Randall Rollins, Rollins,86, United States,M, pest control,,,
Alejandro Santo Domingo, Santo Domingo,41, United States,M, beer,,,
Andres Santo Domingo, Santo Domingo,40, United States,M, beer,,,
Pham Nhat Vuong, Vuong,49, Vietnam,M, diversified,,,
Roger Wang, Wang,69, United States,M, retail,,,
Stephen Bisciotti, Bisciotti,58, United States,M, staffing, Baltimore Ravens,,
Archie Aldis Emmerson, Emmerson,89, United States,M, timberland, lumber mills,,
Antti Herlin, Herlin,61, Finland,M, elevators, escalators,,
Sumet Jiaravanon, Jiaravanon,83, Thailand,M, diversified,,,
Lars Larsen, Larsen,69, Denmark,M, retail,,,
Bobby Murphy, Murphy,29, United States,M, Snapchat,,,
Igor Olenicoff, Olenicoff,75, United States,M, real estate,,,
Wang Yusuo, Wang,54, China,M, natural gas distribution,,,
Carl Bennet, Bennet,66, Sweden,M, investments,,,
Arthur Blank, Blank,75, United States,M, Home Depot,,,
Jaran Chiaravanont, Chiaravanont,88, Thailand,M, diversified,,,
John Gandel, Gandel,83, Australia,M, shopping malls,,,
James Jannard, Jannard,69, United States,M, sunglasses,,,
Montri Jiaravanont, Jiaravanont,87, Thailand,M, diversified,,,
Samuel Tak Lee, Lee,79, Hong Kong,M, real estate,,,
Pawan Munjal, Munjal,64, India,M, motorcycles,,,
Axel Oberwelland, Oberwelland,51, Germany,M, candy,,,
James Packer, Packer,50, Australia,M, casinos,,,
Isaac Perlmutter, Perlmutter,75, United States,M, Marvel comics,,,
Michael Pieper, Pieper,72, Switzerland,M, kitchen appliances,,,
Thomas Pritzker, Pritzker,68, United States,M, hotels, investments,,
Renzo Rosso, Rosso,62, Italy,M, fashion,,,
Hussain Sajwani, Sajwani,65, United Arab Emirates,M, real estate,,,
Yasumitsu Shigeta, Shigeta,53, Japan,M, mobile phone retailer,,,
Evan Spiegel, Spiegel,28, United States,M, Snapchat,,,
Wang Xing, Wang,45, China,M, e-commerce,,,
Kelcy Warren, Warren,62, United States,M, pipelines,,,
Ben Ashkenazy, Ashkenazy,48, United States,M, real estate,,,
Otto Philipp Braun, Braun,40, Germany,M, medical technology,,,
Che Jianxing, Che,51, China,M, furniture retailing,,,
Dan Friedkin, Friedkin,53, United States,M, Toyota dealerships,,,
Sergei Galitsky, Galitsky,50, Russia,M, retail,,,
Huang Rulun, Huang,66, China,M, real estate,,,
Erman Ilicak, Ilicak,50, Turkey,M, construction,,,
Ronald Lauder, Lauder,74, United States,M, Estee Lauder,,,
Michel Leclercq, Leclercq,79, France,M, sporting goods,,,
Michael Moritz, Moritz,63, United States,M, venture capital,,,
Issad Rebrab, Rebrab,74, Algeria,M, food,,,
Naguib Sawiris, Sawiris,64, Egypt,M, telecom,,,
Richard Schulze, Schulze,77, United States,M, Best Buy,,,
B.R. Shetty, Shetty,76, India,M, healthcare,,,
Jeff Sutton, Sutton,58, United States,M, real estate,,,
Tony Tan Caktiong, Tan Caktiong,65, Philippines,M, food,,,
Yu Huijiao, Yu,52, China,M, package delivery,,,
Zhang Xuexin, Zhang,70, China,M, aluminum,,,
Zhang Yiming, Zhang,34, China,M, software,,,
Suhail Bahwan, Bahwan,79, Oman,M, diversified,,,
Rick Caruso, Caruso,59, United States,M, real estate,,,
Tom Gores, Gores,53, United States,M, private equity,,,
Peter Hargreaves, Hargreaves,71, United Kingdom,M, financial services,,,
Guenter Herz, Herz,77, Germany,M, coffee,,,
Masatoshi Ito, Ito,94, Japan,M, retail,,,
Barry Lam, Lam,69, Taiwan,M, electronics,,,
Ravi Pillai, Pillai,64, India,M, construction,,,
Jerry Speyer, Speyer,78, United States,M, real estate,,,
Harry Stine, Stine,76, United States,M, agriculture,,,
George Ty, Ty,85, Philippines,M, banking,,,
Steven Udvar-Hazy, Udvar-Hazy,72, United States,M, aircraft leasing,,,
Christoph Zeller, Zeller,61, Liechtenstein,M, dental implants,,,
Nathan Blecharczyk, Blecharczyk,35, United States,M, Airbnb,,,
Hubert Burda, Burda,78, Germany,M, publishing,,,
Chen Dongsheng, Chen,60, China,M, insurance,,,
Brian Chesky, Chesky,36, United States,M, Airbnb,,,
Gustaf Douglas, Douglas,80, Sweden,M, investments,,,
Joe Gebbia, Gebbia,36, United States,M, Airbnb,,,
Peter Gilgan, Gilgan,67, Canada,M, homebuilding,,,
Jeff Greene, Greene,63, United States,M, real estate, investments,,
Jiang Weiping, Jiang,63, China,M, chemicals,,,
Li Wa, Li,52, Hong Kong,M, real estate,,,
Robert McNair, McNair,81, United States,M, energy, sports,,
Masahiro Miki, Miki,62, Japan,M, shoes,,,
Ira Rennert, Rennert,84, United States,M, investments,,,
Henry Samueli, Samueli,63, United States,M, semiconductors,,,
Zhang Jin, Zhang,46, China,M, diversified,,,
Nick Caporella, Caporella,82, United States,M, beverages,,,
Mark Cuban, Cuban,59, United States,M, online media,,,
Ken Fisher, Fisher,67, United States,M, money management,,,
Jaime Gilinski Bacal, Gilinski Bacal,60, Colombia,M, banking,,,
Andreas Halvorsen, Halvorsen,57, Norway,M, hedge funds,,,
H. Fisk Johnson, Johnson,60, United States,M, cleaning products,,,
S. Curtis Johnson, Johnson,63, United States,M, cleaning products,,,
Viatcheslav Kantor, Kantor,64, Russia,M, fertilizer, real estate,,
Samvel Karapetyan, Karapetyan,52, Russia,M, real estate,,,
Marc Ladreit de Lacharriere, Ladreit de Lacharriere,77, France,M, finance,,,
Li Gaiteng, Li,46, China,M, hair dryers,,,
Mangal Prabhat Lodha, Lodha,62, India,M, real estate,,,
Michael Milken, Milken,71, United States,M, investments,,,
Yuri Milner, Milner,56, Russia,M, tech investments,,,
Andreas Struengmann, Struengmann,68, Germany,M, pharmaceuticals,,,
Thomas Struengmann, Struengmann,68, Germany,M, pharmaceuticals,,,
Tse Ping, Tse,66, China,M, pharmaceuticals,,,
Yitzhak Tshuva, Tshuva,69, Israel,M, real estate,,,
Samuel Yin, Yin,67, Taiwan,M, diversified,,,
Michael Ashley, Ashley,53, United Kingdom,M, sports retailing,,,
Cao Longxiang, Cao,60, China,M, pharmaceuticals,,,
Jeffery Hildebrand, Hildebrand,59, United States,M, oil,,,
Jiang Rensheng, Jiang,64, China,M, vaccine production,,,
Peter Kellogg, Kellogg,75, United States,M, investments,,,
Lim Sung-Ki, Lim,78, South Korea,M, pharmaceuticals,,,
Friedhelm Loh, Loh,71, Germany,M, manufacturing,,,
Idan Ofer, Ofer,62, Israel,M, drilling, shipping,,
Karsanbhai Patel, Patel,74, India,M, consumer goods,,,
Qin Yinglin, Qin,53, China,M, pig breeding,,,
Qiu Guanghe, Qiu,66, China,M, fashion retail,,,
Sarath Ratanavadi, Ratanavadi,52, Thailand,M, energy,,,
Rodger Riney, Riney,72, United States,M, discount brokerage,,,
Steven Spielberg, Spielberg,71, United States,M, Movies,,,
Arne Wilhelmsen, Wilhelmsen,88, Norway,M, cruise ships,,,
Xu Jingren, Xu,73, China,M, pharmaceuticals,,,
Zhang Li, Zhang,65, China,M, real estate,,,
Carlo Benetton, Benetton,74, Italy,M, fashion retail, investments,,
Gilberto Benetton, Benetton,77, Italy,M, fashion retail, investments,,
Luciano Benetton, Benetton,83, Italy,M, fashion retail, investments,,
Chen Bang, Chen,52, China,M, hospitals,,,
Abilio dos Santos Diniz, Diniz,81, Brazil,M, retail,,,
Bernard Ecclestone, Ecclestone,87, United Kingdom,M, Formula One,,,
Gao Tianguo, Gao,66, China,M, real estate, finance,,
Joshua Harris, Harris,53, United States,M, private equity,,,
Arthur Irving, Irving,88, Canada,M, oil,,,
Baba Kalyani, Kalyani,69, India,M, engineering,,,
Dmitry Kamenshchik, Kamenshchik,50, Russia,M, airport,,,
Douglas Leone, Leone,60, United States,M, venture capital,,,
Edwin Leong, Leong,66, Hong Kong,M, real estate,,,
Arnon Milchan, Milchan,73, Israel,M, movie making,,,
Anthony Pritzker, Pritzker,57, United States,M, hotels, investments,,
Jay Robert (J.B.) Pritzker, Pritzker,53, United States,M, hotels, investments,,
Mitchell Rales, Rales,61, United States,M, manufacturing, investments,,
Kjell Inge Rokke, Rokke,59, Norway,M, shipping, seafood,,
Donald Sterling, Sterling,84, United States,M, real estate,,,
Tahir, Tahir,66, Indonesia,M, diversified,,,
Chairul Tanjung, Tanjung,56, Indonesia,M, diversified,,,
Clemens Toennies, Toennies,62, Germany,M, meat processing,,,
Somphote Ahunai, Ahunai,51, Thailand,M, energy,,,
Igor Altushkin, Altushkin,47, Russia,M, metals,,,
Riley Bechtel, Bechtel,66, United States,M, engineering, construction,,
Mike Cannon-Brookes, Cannon-Brookes,38, Australia,M, software,,,
Rafael Del Pino y Calvo-Sotelo, Del Pino y Calvo-Sotelo,59, Spain,M, construction,,,
Antonio Del Valle Ruiz, Del Valle Ruiz,79, Mexico,M, chemicals,,,
Scott Farquhar, Farquhar,38, Australia,M, software,,,
Lindsay Fox, Fox,81, Australia,M, logistics, real estate,,
Jimmy Haslam, Haslam,64, United States,M, gas stations, retail,,
Min Kao, Kao,69, United States,M, navigation equipment,,,
Rudolf Maag, Maag,72, Switzerland,M, medical devices,,,
Alexander Ponomarenko, Ponomarenko,53, Russia,M, real estate, airport,,
Carlos Rodriguez-Pastor, Rodriguez-Pastor,59, Peru,M, finance,,,
Teddy Sagi, Sagi,46, Israel,M, gambling software,,,
Shaul Shani, Shani,63, Israel,M, telecom,,,
Alexander Skorobogatko, Skorobogatko,50, Russia,M, real estate, airport,,
Sun Guangxin, Sun,55, China,M, diversified,,,
Juan-Miguel Villar Mir, Villar Mir,86, Spain,M, construction,,,
Steve Wynn, Wynn,76, United States,M, casinos, hotels,,
Anil Agarwal, Agarwal,64, India,M, mining, metals,,
John Arnold, Arnold,44, United States,M, hedge funds,,,
Sid Bass, Bass,76, United States,M, oil, investments,,
Alain Bouchard, Bouchard,69, Canada,M, retail,,,
John Brown, Brown,83, United States,M, medical equipment,,,
Vanich Chaiyawan, Chaiyawan,86, Thailand,M, insurance, beverages,,
Chen Lip Keong, Chen,70, Malaysia,M, casinos, property, energy,
Charles Cohen, Cohen,66, United States,M, real estate,,,
Ashwin Dani, Dani,75, India,M, paints,,,
Rakesh Gangwal, Gangwal,64, United States,M, airline,,,
Reid Hoffman, Hoffman,50, United States,M, LinkedIn,,,
Zarakh Iliev, Iliev,51, Russia,M, real estate,,,
Ji Qi, Ji,51, China,M, hotels, motels,,
Kenneth Langone, Langone,82, United States,M, investments,,,
Li Sze Lim, Li,61, Hong Kong,M, real estate,,,
George Lindemann, Lindemann,82, United States,M, investments,,,
Liu Zhongtian, Liu,54, China,M, aluminum products,,,
Luo Liguo, Luo,62, China,M, chemicals,,,
God Nisanov, Nisanov,46, Russia,M, real estate,,,
Alexander Svetakov, Svetakov,50, Russia,M, real estate,,,
Hans Peter Wild, Wild,77, Switzerland,M, flavorings,,,
Patrizio Bertelli, Bertelli,72, Italy,M, luxury goods,,,
Neil Bluhm, Bluhm,80, United States,M, real estate,,,
Scott Cook, Cook,65, United States,M, software,,,
Leon G. Cooperman, Cooperman,75, United States,M, hedge funds,,,
John Paul DeJoria, DeJoria,74, United States,M, hair products, tequila,,
Martin Ebner, Ebner,72, Switzerland,M, investments,,,
Walter Faria, Faria,63, Brazil,M, beer,,,
Sameer Gehlaut, Gehlaut,44, India,M, finance,,,
Tom Golisano, Golisano,76, United States,M, payroll services,,,
Otto Happel, Happel,70, Germany,M, engineering,,,
Jiang Bin, Jiang,51, China,M, acoustic components,,,
Karel Komarek, Komarek,49, Czech Republic,M, lotteries,,,
Kurt Krieger, Krieger,70, Germany,M, furniture retailing,,,
Timur Kulibaev, Kulibaev,51, Kazakhstan,M, banking,,,
Spiro Latsis, Latsis,71, Greece,M, banking, shipping,,
Daniel Loeb, Loeb,56, United States,M, hedge funds,,,
Luo Jye, Luo,92, Taiwan,M, tires,,,
Ronald McAulay, McAulay,82, Hong Kong,M, energy,,,
Alain Merieux, Merieux,80, France,M, pharmaceuticals,,,
Hans Georg Naeder, Naeder,56, Germany,M, prosthetics,,,
Nie Tengyun, Nie,42, China,M, logistics,,,
Daniel Och, Och,57, United States,M, hedge funds,,,
Marc Rowan, Rowan,55, United States,M, private equity,,,
Haim Saban, Saban,73, United States,M, TV network, investments,,
Alvaro Saieh Bendeck, Saieh Bendeck,68, Chile,M, banking,,,
Michael & Reiner Schmidt-Ruthenbeck, Schmidt-Ruthenbeck,75, Germany,M, retail,,,
Mark Shoen, Shoen,67, United States,M, U-Haul,,,
Michal Solowow, Solowow,55, Poland,M, investments,,,
Daniel Tsai, Tsai,62, Taiwan,M, finance,,,
Richard Tsai, Tsai,61, Taiwan,M, finance,,,
Frank Wang, Wang,37, China,M, drones,,,
John Catsimatidis, Catsimatidis,69, United States,M, oil, real estate,,
Barry Diller, Diller,76, United States,M, online media,,,
Jack Dorsey, Dorsey,41, United States,M, Twitter,,,
Yakir Gabay, Gabay,52, Cyprus,M, real estate,,,
Allan Goldman, Goldman,75, United States,M, real estate,,,
Daryl Katz, Katz,56, Canada,M, pharmacies,,,
Vladimir Kim, Kim,57, Kazakhstan,M, mining,,,
Lai Meisong, Lai,47, China,M, package delivery,,,
Manuel Lao Hernandez, Lao Hernandez,74, Spain,M, gambling,,,
James Leprino, Leprino,80, United States,M, cheese,,,
Liang Xinjun, Liang,50, China,M, conglomerate,,,
Tom Morris, Morris,63, United Kingdom,M, retail,,,
Rajan Raheja, Raheja,64, India,M, diversified,,,
Ren Jianhua, Ren,61, China,M, kitchen appliances,,,
Richard Sands, Sands,67, United States,M, Food & Beverage,,,
Kerry Stokes, Stokes,77, Australia,M, construction equipment, media,,
Donald Trump, Trump,72, United States,M, television, real estate,,
Romesh T. Wadhwani, Wadhwani,70, United States,M, software,,,
Wang Jian, Wang,64, China,M, healthcare services,,,
Clifford Asness, Asness,51, United States,M, Investment Management,,,
Henri Beaufour, Beaufour,53, France,M, pharmaceuticals,,,
Jim Breyer, Breyer,56, United States,M, venture capital,,,
Alejandro Bulgheroni, Bulgheroni,73, Argentina,M, oil & gas,,,
Hasmukh Chudgar, Chudgar,84, India,M, pharmaceuticals,,,
Ennio Doris, Doris,77, Italy,M, financial services,,,
Luis Frias, Frias,55, Brazil,M, mobile payments,,,
Valentin Gapontsev, Gapontsev,79, United States,M, lasers,,,
Martin Haefner, Haefner,64, Switzerland,M, software, investments,,
Christopher Hohn, Hohn,51, United Kingdom,M, Hedge funds,,,
Rakesh Jhunjhunwala, Jhunjhunwala,57, India,M, investments,,,
Lu Xiangyang, Lu,55, China,M, automobiles, batteries,,
John Middleton, Middleton,63, United States,M, tobacco,,,
Kazuo Okada, Okada,75, Japan,M, casinos,,,
Jorge Perez, Perez,68, United States,M, real estate,,,
Prasert Prasarttong-Osoth, Prasarttong-Osoth,85, Thailand,M, hospitals,,,
Mochtar Riady, Riady,89, Indonesia,M, diversified,,,
Arkady Rotenberg, Rotenberg,66, Russia,M, construction, pipes, banking,
Michael Rubin, Rubin,45, United States,M, online retail,,,
Robert Sands, Sands,60, United States,M, Food & Beverage,,,
Herbert Simon, Simon,83, United States,M, real estate,,,
Robert Toennies, Toennies,40, Germany,M, meat processing,,,
Manuel Villar, Villar,68, Philippines,M, real estate,,,
Don Vultaggio, Vultaggio,66, United States,M, AriZona Beverages,,,
Wang Zhenhua, Wang,56, China,M, real estate,,,
Wu Kaiting, Wu,48, Hong Kong,M, electronics,,,
Simon Xie, Xie,48, China,M, online payment service,,,
Chuck Bundrant, Bundrant,76, United States,M, fishing,,,
Cai Dongchen, Cai,65, China,M, pharmaceuticals,,,
Jason Chang, Chang,74, Singapore,M, electronics,,,
Ding Shizhong, Ding,47, China,M, sports apparel,,,
Feng Hailiang, Feng,57, China,M, copper, education,,
Gerald Ford, Ford,73, United States,M, banking,,,
Philippe Foriel-Destezet, Foriel-Destezet,82, France,M, employment agency,,,
Adi Godrej, Godrej,76, India,M, consumer goods,,,
Jamshyd Godrej, Godrej,69, India,M, consumer goods,,,
Nadir Godrej, Godrej,67, India,M, consumer goods,,,
Joseph Grendys, Grendys,56, United States,M, poultry processing,,,
Ke Zunhong, Ke,63, China,M, pharmaceuticals,,,
